21E pin,21G Pin,21J Pin,IO Pin,A,B,-,-,-,-,C,D,E,F,G,H
(32pin),(48 pin),(64 pin),,EIC,Ref,ADC,AC,PTC,DAC,Sercom,SercomAlt,TC/TCC,TCC,COM,GCLK
1,1,1,PA00,0,,,,,,,,TCC2/WO0,,,
2,2,2,PA01,1,,,,,,,,TCC2/WO1,,,
3,3,3,PA02,2,,0,,y0,Vout,,,,,,
4,4,4,PA03,3,refA,1,,y1,,,,,,,
5,9,13,PA04,4,refB,4,,y2,,,SERCOM0 P0,TCC0/WO0,,,
6,10,14,PA05,5,,5,,y3,,,SERCOM0 P1,TCC0/WO1,,,
7,11,15,PA06,6,,6,,y4,,,SERCOM0 P2,TCC1/WO0,,,
8,12,16,PA07,7,,7,,y5,,,SERCOM0 P3,TCC1/WO1,,,
11,13,17,PA08,NMI,,16,,x0,,SERCOM0 P0,SERCOM2 P0,TCC0/WO0,TCC1/WO2,,
12,14,18,PA09,9,,17,,x1,,SERCOM0 P1,SERCOM2 P1,TCC0/WO1,TCC1/WO3,,
13,15,19,PA10,10,,18,,x2,,SERCOM0 P2,SERCOM2 P2,TCC1/WO0,TCC0/WO2,,
14,16,20,PA11,11,,19,,x3,,SERCOM0 P3,SERCOM2 P3,TCC1/WO1,TCC0/WO3,,
,21,29,PA12,12,,,,,,SERCOM2 P0,SERCOM4 P0,TCC2/WO0,TCC0/WO6,,
,22,30,PA13,13,,,,,,SERCOM2 P1,SERCOM4 P1,TCC2/WO1,TCC0/WO7,,
15,23,31,PA14,14,,,,,,SERCOM2 P2,SERCOM4 P2,TC3/WO0,TCC0/WO4,,
16,24,32,PA15,15,,,,,,SERCOM2 P3,SERCOM4 P3,TC3/WO1,TCC0/WO5,,
17,25,35,PA16,0,,,,x4,,SERCOM1 P0,SERCOM3 P0,TCC2/WO0,TCC0/WO6,,
18,26,36,PA17,1,,,,x5,,SERCOM1 P1,SERCOM3 P1,TCC2/WO1,TCC0/WO7,,
19,27,37,PA18,2,,,,x6,,SERCOM1 P2,SERCOM3 P2,TC3/WO0,TCC0/WO2,,
20,28,38,PA19,3,,,,x7,,SERCOM1 P3,SERCOM3 P3,TC3/WO1,TCC0/WO3,,
,29,41,PA20,4,,,,x8,,SERCOM5 P2,SERCOM3 P2,TC7/WO0,TCCO/WO6,,
,30,42,PA21,5,,,,x9,,SERCOM5 P3,SERCOM3 P3,TC7/WO1,TCC0/WO7,,
21,31,43,PA22,6,,,,x10,,SERCOM3 P0,SERCOM5 P0,TC4/WO0,TCC0/WO5,,
22,32,44,PA23,7,,,,x11,,SERCOM3 P1,SERCOM5 P1,TC4/WO1,TCC1/WO2,USB/SOF,
23,33,45,PA24,12,,,,,,SERCOM3 P2,SERCOM5 P2,TC5/WO0,TCC1/WO3,USB-DM,
24,34,46,PA25,13,,,,,,SERCOM3 P3,SERCOM5 P3,TC5/WO1,,USB-DP,
25,39,51,PA27,15,,,,,,,,,,,
27,41,53,PA28,8,,,,,,,,,,,
31,45,57,PA30,10,,,,,,,SERCOM1 P2,TCC1/WO0,,SWCLK,
32,46,58,PA31,11,,,,,,,SERCOM1 P3,TCC1/WO0,,SWDIO,
,,61,PB00,0,,8,,y6,,,SERCOM5 P2,TC7/WO0,,,
,,62,PB01,1,,9,,y7,,,SERCOM5 P3,TC7/WO1,,,
,47,63,PB02,2,,10,,y8,,,SERCOM5 P0,TC6/WO0,,,
,48,64,PB03,3,,11,,y9,,,SERCOM5 P1,TC6/WO1,,,
,,5,PB04,4,,12,,y10,,,,,,,
,,6,PB05,5,,13,,y11,,,,,,,
,,9,PB06,6,,14,,y12,,,,,,,
,,10,PB07,7,,15,,y13,,,,,,,
,7,11,PB08,8,,2,,y14,,,SERCOM4 P0,TC4/WO0,,,
,8,12,PB09,9,,3,,y15,,,SERCOM4 P1,TC4/WO1,,,
,19,23,PB10,10,,,,,,,SERCOM4 P2,TC5/WO0,TCC0/WO4,,
,20,24,PB11,11,,,,,,,SERCOM4 P3,TC5/WO1,TCC0/WO5,,
,,25,PB12,12,,,,x12,,SERCOM4 P0,,TC4/WO0,TCC0/WO6,,
,,26,PB13,13,,,,x13,,SERCOM4 P1,,TC4/WO1,TCC0/WO7,,
,,27,PB14,14,,,,x14,,SERCOM4 P2,,TC5/WO0,,,
,,28,PB15,15,,,,x15,,SERCOM4 P3,,TC5/WO1,,,
,,39,PB16,0,,,,,,SERCOM5 P0,,TC6/WO0,TCC0/WO4,,
,,40,PB17,1,,,,,,SERCOM5 P1,,TC6/WO1,TCC0/WO5,,
,37,49,PB22,6,,,,,,,SERCOM5 P2,TC7/WO0,,,
,38,50,PB23,7,,,,,,,SERCOM5 P3,TC7/WO1,,,
,,59,PB30,14,,,,,,,SERCOM5 P0,TCC0/WO0,TCC1/WO2,,
,,60,PB31,15,,,,,,,SERCOM5 P1,TCC0/WO1,TCC1/WO3,,
